Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1586995200000,2020-04-16 00:00:00,ETHUSD,152.94,152.94,150.39,150.39,650.188125
1586991600000,2020-04-15 23:00:00,ETHUSD,155.81,155.81,151.39,152.94,4277.56729866
1586988000000,2020-04-15 22:00:00,ETHUSD,157.18,157.3,155.32,155.81,106.33727909
1586984400000,2020-04-15 21:00:00,ETHUSD,158.04,158.31,157.16,157.18,55.24413059
1586980800000,2020-04-15 20:00:00,ETHUSD,157.1,158.1,156.87,158.04,144.262622
1586977200000,2020-04-15 19:00:00,ETHUSD,157.78,157.84,157.1,157.1,329.35620144
1586973600000,2020-04-15 18:00:00,ETHUSD,157.48,158.2,157.48,157.78,520.13746267
1586970000000,2020-04-15 17:00:00,ETHUSD,157.12,157.78,156.9,157.48,156.55222076
1586966400000,2020-04-15 16:00:00,ETHUSD,155.81,157.52,155.74,157.12,430.083035
1586962800000,2020-04-15 15:00:00,ETHUSD,157.12,157.15,155.81,155.81,303.83954102
1586959200000,2020-04-15 14:00:00,ETHUSD,156.57,158.09,156.57,157.12,747.87021965
1586955600000,2020-04-15 13:00:00,ETHUSD,156.46,157.67,155.5,156.57,320.06017197
1586952000000,2020-04-15 12:00:00,ETHUSD,157.45,157.76,155.58,156.46,1922.313877
1586948400000,2020-04-15 11:00:00,ETHUSD,157.69,158.26,157.09,157.45,993.97028762
1586944800000,2020-04-15 10:00:00,ETHUSD,159.05,159.76,157.25,157.69,866.47222245
